,Stock,shortPeriod,longPeriod,finalValue,ROI
0,NAB.AX,60,119,13886.8,38.87%
1,CBA.AX,47,101,9847.04,-1.53%
2,ANZ.AX,78,116,12854.82,28.55%
3,WBC.AX,64,119,10920.4,9.2%
